,curb-weight,engine-size,length,width,horsepower,city-mpg,highway-mpg,wheel-base,bore,drive-wheels,price
102,3139,181,0.8202787121576165,0.9430555555555556,200.0,17,23,91.3,3.43,rwd,19699.0
103,3139,181,0.8577606919750121,0.9430555555555556,160.0,19,25,99.2,3.43,rwd,18399.0
104,3020,120,0.897164824603556,0.95,97.0,19,24,107.9,3.46,rwd,11900.0
105,3197,152,0.897164824603556,0.95,95.0,28,33,107.9,3.7,rwd,13200.0
106,3230,120,0.9557904853435848,0.95,97.0,19,24,114.2,3.46,rwd,12440.0
107,3430,152,0.9557904853435848,0.95,95.0,25,25,114.2,3.7,rwd,13860.0
108,3075,120,0.897164824603556,0.95,95.0,19,24,107.9,3.46,rwd,15580.0
109,3252,152,0.897164824603556,0.95,95.0,28,33,107.9,3.7,rwd,16900.0
110,3285,120,0.9557904853435848,0.95,95.0,19,24,114.2,3.46,rwd,16695.0
111,3485,152,0.9557904853435848,0.95,95.0,25,25,114.2,3.7,rwd,17075.0
112,3075,120,0.897164824603556,0.95,97.0,19,24,107.9,3.46,rwd,16630.0
113,3252,152,0.897164824603556,0.95,95.0,28,33,107.9,3.7,rwd,17950.0
114,3130,134,0.897164824603556,0.9486111111111112,142.0,18,24,108.0,3.61,rwd,18150.0
115,1918,90,0.7558865929841423,0.8861111111111111,68.0,37,41,93.7,2.97,fwd,5572.0
116,2128,98,0.7558865929841423,0.8861111111111111,102.0,24,30,93.7,3.03,fwd,7957.0
117,1967,90,0.7558865929841423,0.8861111111111111,68.0,31,38,93.7,2.97,fwd,6229.0
118,1989,90,0.8039404132628545,0.8861111111111111,68.0,31,38,93.7,2.97,fwd,6692.0
119,2191,98,0.8039404132628545,0.8861111111111111,68.0,31,38,93.7,2.97,fwd,7609.0
120,2535,122,0.8390197020663143,0.8972222222222221,88.0,24,30,103.3,3.35,fwd,8921.0
121,2818,156,0.8322921672272945,0.9208333333333332,145.0,19,24,95.9,3.59,rwd,12764.0
122,2778,151,0.8116290245074483,0.9486111111111112,143.0,19,27,94.5,3.94,rwd,22018.0
123,2756,194,0.8116290245074483,0.9027777777777778,207.0,17,25,89.5,3.74,rwd,32528.0
124,2756,194,0.8116290245074483,0.9027777777777778,207.0,17,25,89.5,3.74,rwd,34028.0
125,2800,194,0.8116290245074483,0.9027777777777778,207.0,17,25,89.5,3.74,rwd,37028.0
126,2579,132,0.8721768380586257,0.9236111111111112,104.256157635468,23,31,96.1,3.46,fwd,9295.0
127,2460,132,0.8495915425276309,0.925,104.256157635468,23,31,96.1,3.46,fwd,9895.0
128,2658,121,0.8966842864007688,0.9236111111111112,110.0,21,28,99.1,3.54,fwd,11850.0
129,2695,121,0.8966842864007688,0.9236111111111112,110.0,21,28,99.1,3.54,fwd,12170.0
130,2707,121,0.8966842864007688,0.9236111111111112,110.0,21,28,99.1,2.54,fwd,15040.0
131,2758,121,0.8966842864007688,0.9236111111111112,110.0,21,28,99.1,3.54,fwd,15510.0
132,2808,121,0.8966842864007688,0.9236111111111112,160.0,19,26,99.1,3.54,fwd,18150.0
133,2847,121,0.8966842864007688,0.9236111111111112,160.0,19,26,99.1,3.54,fwd,18620.0
134,2050,97,0.7539644401729938,0.8805555555555555,69.0,31,36,93.7,3.62,fwd,5118.0
135,2120,108,0.758769822200865,0.8833333333333333,73.0,26,31,93.7,3.62,fwd,7053.0
136,2240,108,0.7558865929841423,0.8861111111111111,73.0,26,31,93.3,3.62,4wd,7603.0
137,2145,108,0.8265257087938491,0.9083333333333334,82.0,32,37,97.2,3.62,fwd,7126.0
138,2190,108,0.8265257087938491,0.9083333333333334,82.0,28,33,97.2,3.62,fwd,7775.0
139,2340,108,0.8265257087938491,0.9083333333333334,94.0,26,32,97.2,3.62,fwd,9960.0
140,2385,108,0.8265257087938491,0.9083333333333334,82.0,24,25,97.0,3.62,4wd,9233.0
141,2510,108,0.8265257087938491,0.9083333333333334,111.0,24,29,97.0,3.62,4wd,11259.0
142,2290,108,0.8337337818356559,0.9083333333333334,82.0,28,32,97.0,3.62,fwd,7463.0
143,2455,108,0.8337337818356559,0.9083333333333334,94.0,25,31,97.0,3.62,fwd,10198.0
144,2420,108,0.8342143200384431,0.9083333333333334,82.0,23,29,96.9,3.62,4wd,8013.0
145,2650,108,0.8342143200384431,0.9083333333333334,111.0,23,23,96.9,3.62,4wd,11694.0
146,1985,92,0.762614127823162,0.8833333333333333,62.0,35,39,95.7,3.05,fwd,5348.0
147,2040,92,0.762614127823162,0.8833333333333333,62.0,31,38,95.7,3.05,fwd,6338.0
148,2015,92,0.762614127823162,0.8833333333333333,62.0,31,38,95.7,3.05,fwd,6488.0
149,2280,92,0.8154733301297453,0.8833333333333333,62.0,31,37,95.7,3.05,fwd,6918.0
150,2290,92,0.8154733301297453,0.8833333333333333,62.0,27,32,95.7,3.05,4wd,7898.0
151,3110,92,0.8154733301297453,0.8833333333333333,62.0,27,32,95.7,3.05,4wd,8778.0
152,2081,98,0.7991350312349833,0.8944444444444445,70.0,30,37,95.7,3.19,fwd,6938.0
153,2109,98,0.7991350312349833,0.8944444444444445,70.0,30,37,95.7,3.19,fwd,7198.0
154,2275,110,0.7991350312349833,0.8944444444444445,56.0,34,36,95.7,3.27,fwd,7898.0
155,2275,110,0.7991350312349833,0.8944444444444445,56.0,38,47,95.7,3.27,fwd,7788.0
156,2094,98,0.7991350312349833,0.8944444444444445,70.0,38,47,95.7,3.19,fwd,7738.0
157,2122,98,0.7991350312349833,0.8944444444444445,70.0,28,34,95.7,3.19,fwd,8358.0
158,2140,98,0.7991350312349833,0.8944444444444445,70.0,28,34,95.7,3.19,fwd,9258.0
159,2169,98,0.810667948101874,0.8888888888888888,70.0,29,34,94.5,3.19,rwd,8058.0
160,2204,98,0.810667948101874,0.8888888888888888,70.0,29,34,94.5,3.19,rwd,8238.0
161,2265,98,0.810667948101874,0.8888888888888888,112.0,26,29,94.5,3.24,rwd,9298.0
162,2300,98,0.810667948101874,0.8888888888888888,112.0,26,29,94.5,3.24,rwd,9538.0
163,2540,146,0.8467083133109082,0.9111111111111108,116.0,24,30,98.4,3.62,rwd,8449.0
164,2536,146,0.8467083133109082,0.9111111111111108,116.0,24,30,98.4,3.62,rwd,9639.0
165,2551,146,0.8467083133109082,0.9111111111111108,116.0,24,30,98.4,3.62,rwd,9989.0
166,2679,146,0.8467083133109082,0.9111111111111108,116.0,24,30,98.4,3.62,rwd,11199.0
167,2714,146,0.8467083133109082,0.9111111111111108,116.0,24,30,98.4,3.62,rwd,11549.0
168,2975,146,0.8467083133109082,0.9111111111111108,116.0,24,30,98.4,3.62,rwd,17669.0
169,2326,122,0.8438250840941854,0.9236111111111112,92.0,29,34,102.4,3.31,fwd,8948.0
170,2480,110,0.8438250840941854,0.9236111111111112,73.0,30,33,102.4,3.27,fwd,10698.0
171,2414,122,0.8438250840941854,0.9236111111111112,92.0,27,32,102.4,3.31,fwd,9988.0
172,2414,122,0.8438250840941854,0.9236111111111112,92.0,27,32,102.4,3.31,fwd,10898.0
173,2458,122,0.8438250840941854,0.9236111111111112,92.0,27,32,102.4,3.31,fwd,11248.0
174,2976,171,0.8817876021143681,0.9402777777777778,161.0,20,24,102.9,3.27,rwd,16558.0
175,3016,171,0.8817876021143681,0.9402777777777778,161.0,19,24,102.9,3.27,rwd,15998.0
176,3131,171,0.9024507448342144,0.9236111111111112,156.0,20,24,104.5,3.27,rwd,15690.0
177,3151,161,0.9024507448342144,0.9236111111111112,156.0,19,24,104.5,3.27,rwd,15750.0
178,2261,97,0.8250840941854877,0.9097222222222222,52.0,37,46,97.3,3.01,fwd,7775.0
179,2209,109,0.8250840941854877,0.9097222222222222,85.0,27,34,97.3,3.19,fwd,7975.0
180,2264,97,0.8250840941854877,0.9097222222222222,52.0,37,46,97.3,3.01,fwd,7995.0
181,2212,109,0.8250840941854877,0.9097222222222222,85.0,27,34,97.3,3.19,fwd,8195.0
182,2275,109,0.8250840941854877,0.9097222222222222,85.0,27,34,97.3,3.19,fwd,8495.0
183,2319,97,0.8250840941854877,0.9097222222222222,68.0,37,42,97.3,3.01,fwd,9495.0
184,2300,109,0.8250840941854877,0.9097222222222222,100.0,26,32,97.3,3.19,fwd,9995.0
185,2254,109,0.7654973570398848,0.8916666666666667,90.0,24,29,94.5,3.19,fwd,11595.0
186,2221,109,0.7962518020182604,0.8888888888888888,90.0,24,29,94.5,3.19,fwd,9980.0
187,2661,136,0.8659298414223928,0.9291666666666668,110.0,19,24,100.4,3.19,fwd,13295.0
188,2579,97,0.8659298414223928,0.9291666666666668,68.0,33,38,100.4,3.01,fwd,13845.0
189,2563,109,0.8798654493032196,0.9291666666666668,88.0,25,31,100.4,3.19,fwd,12290.0
190,2912,141,0.9072561268620856,0.9333333333333332,114.0,23,28,104.3,3.78,rwd,12940.0
191,3034,141,0.9072561268620856,0.9333333333333332,114.0,23,28,104.3,3.78,rwd,13415.0
192,2935,141,0.9072561268620856,0.9333333333333332,114.0,24,28,104.3,3.78,rwd,15985.0
193,3042,141,0.9072561268620856,0.9333333333333332,114.0,24,28,104.3,3.78,rwd,16515.0
194,3045,130,0.9072561268620856,0.9333333333333332,162.0,17,22,104.3,3.62,rwd,18420.0
195,3157,130,0.9072561268620856,0.9333333333333332,162.0,17,22,104.3,3.62,rwd,18950.0
196,2952,141,0.9072561268620856,0.9569444444444444,114.0,23,28,109.1,3.78,rwd,16845.0
197,3049,141,0.9072561268620856,0.9555555555555556,160.0,19,25,109.1,3.78,rwd,19045.0
198,3012,173,0.9072561268620856,0.9569444444444444,134.0,18,23,109.1,3.58,rwd,21485.0
199,3217,145,0.9072561268620856,0.9569444444444444,106.0,26,27,109.1,3.01,rwd,22470.0
200,3062,141,0.9072561268620856,0.9569444444444444,114.0,19,25,109.1,3.78,rwd,22625.0
